FID,Identificacao_Ponto,Tipo_Ponto,Legenda_Vegetacao_Ponto,Latitude,Longitude,Nivel_Amostragem,Tecnica_Amostragem,Variavel_Medida_Amostragem,Forma_Geometrica_Usada_Amostra,Largura_Forma_Geometrica_Amostra_Primaria_metro,Comprimento_Forma_Geometrica_Amostra_Primaria_metro,Volume_Madeira_m3_ou_Lenha_m3stX100_por_Hectare,Total_Individuos_Ponto,Total_Especies_Ponto,the_geom
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d48,SD21ZA/RB/A.35,Inventário,Sa,-14:28:51,-56:19:01,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,16.2476,125,21,POINT (-56.3176017885096 -14.481535628551839)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d49,SD21ZA/RB/A.58,Inventário,Asc,-14:03:32,-56:10:28,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,14.3848,18,12,POINT (-56.17502449097568 -14.059465883062755)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4a,SD21ZC/RB/A.112,Inventário,Sd,-15:54:44,-55:31:58,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,63.9945,181,30,POINT (-55.53352618431857 -15.912683793188968)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4b,SD21ZC/RB/A.29,Inventário,Sd,-15:46:16,-56:26:33,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,26.9155,154,24,POINT (-56.4430037565128 -15.771663966686855)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4c,SD21ZC/RB/A.42,Inventário,Sa,-15:12:56,-56:19:35,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,19.7354,62,16,POINT (-56.32704060151976 -15.216186942757474)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4d,SD21ZC/RB/A.43,Inventário,Sa,-15:17:48,-56:13:52,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,14.6438,101,19,POINT (-56.231749174923024 -15.297216047569774)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4e,SD21ZC/RB/A.45,Inventário,Sa,-15:39:41,-56:16:04,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,20.7171,128,22,POINT (-56.268474156161325 -15.661984662092618)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d4f,SD21ZC/RB/A.46,Inventário,Sa,-15:45:33,-56:20:22,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,13.9668,111,24,POINT (-56.339950863717775 -15.759739205199917)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d50,SD21ZC/RB/A.47,Inventário,Sa,-15:52:06,-56:19:50,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,28.2797,186,19,POINT (-56.3311048087431 -15.868809351482115)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d51,SD21ZC/RB/A.49,Inventário,Sa,-15:28:39,-56:08:12,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,10.3553,65,22,POINT (-56.13720505462887 -15.477973596409775)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d52,SD21ZC/RB/A.50,Inventário,Sa,-15:31:53,-56:03:06,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,24.9109,240,20,POINT (-56.05217578493653 -15.532009628562776)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d53,SD21ZC/RB/A.51,Inventário,Sa,-15:39:15,-56:00:21,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,12.9108,100,18,POINT (-56.006545078552556 -15.654813414184519)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d54,SD21ZC/RB/A.52,Inventário,Sa,-15:47:12,-56:03:13,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,14.2752,143,9,POINT (-56.05428895653752 -15.7873299954672)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d55,SD21ZC/RB/A.53,Inventário,Sa,-15:15:06,-55:42:22,reconhec,seletiva,circunferência CAC>=30cm,retangular,20,250,15.9992,169,18,POINT (-55.70678479760952 -15.252363961724873)
PontoInventarioFlorestalAmazoniaLegal_250.fid-829d80e_184ac4670aa_2d56,SD21ZD/RB/A.113,Inventário,Cs,-15:43:17,-54:54:45,reconhec,seletiva,circunferência CAP>=100cm;altura comercial,retangular,20,500,25.0806,71,20,POINT (-54.91318592275795 -15.722083202657629)
