FID,id_objeto,nome,nomeabrev,geometriaaproximada,emduto,tensaoeletrica,numcircuitos,especie,posicaorelativa,operacional,situacaofisica,id_produtor,id_elementoprodutor,geom
BC250_2017_Trecho_Energia_L.34,34,LT 500 kV EMBORCACAO /SAO GOTARDO 2 C-1 MG,LT 500 kV EMBORCACAO /SAO GOTARDO 2 C-1 MG,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,91,"MULTILINESTRING ((-47.98593836279664 -18.457518486429855, -47.948093928999995 -18.461755013999902, -46.761745229 -19.0004698289999, -46.500432399 -19.1110299859999, -46.069850228 -19.307452531))"
BC250_2017_Trecho_Energia_L.35,35,LT 500 kV NOVA PONTE /ESTREITO C-1 MG,LT 500 kV NOVA PONTE /ESTREITO C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,114,"MULTILINESTRING ((-47.31155619 -19.875037114, -47.06496519 -20.283156554))"
BC250_2017_Trecho_Energia_L.36,36,LT 500 kV B.DESPACHO 3 /NEVES 1 C-1 MG,LT 500 kV B.DESPACHO 3 /NEVES 1 C-1 MG,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,121,"MULTILINESTRING ((-45.238477122999896 -19.7389899309999, -45.092857426 -19.774903015999897, -44.97755716658924 -19.858468256308498))"
BC250_2017_Trecho_Energia_L.37,37,LT 500 kV SERRA DA MESA/RIO DAS EGUAS C-1 GO/BA,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250008,16,"MULTILINESTRING ((-48.2762154289999 -13.82357151, -48.0344319289999 -13.7677475099999, -48.000432493999895 -13.77017899, -48.0004023129999 -13.77018136, -47.885897429 -13.77917351, -47.658525428 -13.78717151, -47.249483928000004 -13.80545251, -46.932991428 -13.8180210099999, -46.5004208519999 -13.838623808, -46.1755817709999 -13.853712539))"
BC250_2017_Trecho_Energia_L.38,38,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250014,63,"MULTILINESTRING ((-49.235460019 -16.790016508, -49.217489541 -16.781263965999898, -49.207382428 -16.775783921, -49.2021059699999 -16.771167019, -49.195363828999994 -16.759441556, -49.1862033099999 -16.748448934000002, -49.171546481 -16.71796273, -49.1555705379999 -16.681687078, -49.139421395999896 -16.645086496))"
BC250_2017_Trecho_Energia_L.39,39,,,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250014,52,"MULTILINESTRING ((-48.047309657 -16.0118426569999, -48.0004370039999 -16.018691483999902))"
BC250_2017_Trecho_Energia_L.40,40,LT 500 kV B.DESPACHO 3 /S. G. DO PARA C-1 MG,LT 500 kV B.DESPACHO 3 /S. G. DO PARA C-1 MG,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250013,123,"MULTILINESTRING ((-45.249029365848635 -19.758297158848634, -44.999715152895014 -19.93046428942292, -44.85953751959744 -19.978898061056277))"
BC250_2017_Trecho_Energia_L.41,41,LT 230 kV CANA BRAVA /SERRA DA MESA C-2 GO,,Não,Não,,,Desconhecido,Na superfície,Sim,Construída,250008,5,"MULTILINESTRING ((-48.281863928999904 -13.82733701, -48.189660429 -13.68720151, -48.182158429 -13.64406401, -48.139677429 -13.4577940099999))"
BC250_2017_Trecho_Energia_L.42,42,LT 230 kV BRAS. GERAL /XAVANTES C-1 DF/GO,LT 230 kV BRAS. GERAL /XAVANTES C-1 DF/GO,Não,Não,,,Transmissão,Na superfície,Sim,Construída,250014,36,"MULTILINESTRING ((-47.953799929000006 -15.806119012, -48.000436596 -15.829468317))"
BC250_2017_Trecho_Energia_L.43,43,LT 345 kV JAGUARA-US /VOLTA GRANDE C-1 MG,LT 345 kV JAGUARA-US /VOLTA GRANDE C-1 MG,Não,Não,,,Transmissão,Emerso,Sim,Construída,250013,110,"MULTILINESTRING ((-47.438166709466245 -20.018973754843916, -47.56197876103406 -19.95555412216655, -47.7051119287431 -19.956205743116943, -48.227070621601825 -19.999897784323956, -48.36713368816499 -19.9287333145874))"
